"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CO2","Mt CO2/yr",36039.0033,35347.28895,29549.14804,24301.61003,19048.63634,13907.5818,8829.904221,5244.729484,1698.010095,-1141.52232,-3165.056547,-5085.914059,-5192.409086,-5246.878344,-5262.514988,-5250.299249,-5217.607977
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.474941,1335.548402,1373.79544,1277.647613,1219.789753,1059.547286,932.4234437,712.7821882,637.0635321,610.129693,583.0643285,546.8542621,559.9300458,563.8899962,557.8184416,544.5587605,528.8378137
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9220769,449.142004,442.4477123,398.3181432,371.1635566,301.5849668,251.7210058,169.2398655,138.188722,127.2285911,115.9363426,102.3409087,100.6105189,99.2408694,97.49304468,94.35514685,91.42667253
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|CO2","Mt CO2/yr",36039.00144,37164.24033,37506.37669,38393.11941,39013.77532,39474.67871,39793.95894,40571.16361,41257.29552,41626.7269,41710.33409,41806.46298,41732.52982,41439.47819,41111.64755,40684.35983,40059.32558
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.47321,1386.147765,1635.428186,1706.536259,1760.377697,1756.259011,1711.852231,1438.744203,1339.694377,1360.998662,1381.904629,1381.921926,1366.71195,1408.790357,1456.852237,1499.266053,1577.775998
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9212802,468.5149624,530.5129014,547.4566278,562.0188956,552.4708089,533.2559911,421.5655972,375.8834763,378.9573552,382.2922367,377.2165007,370.7048523,391.7196864,416.5744396,442.9045332,481.6317903
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CO2","Mt CO2/yr",36038.98085,37164.13405,37506.82097,30369.3466,22516.89732,14910.12368,7417.192214,3484.253421,-167.0040176,-1868.114645,-3378.975812,-4411.247058,-5366.751777,-5380.590894,-5386.848411,-5365.932453,-5333.242659
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.463357,1386.134847,1635.409661,1429.391321,1288.116629,1046.130215,878.2891804,646.9740735,554.7245964,576.8679558,582.5598171,581.3559834,565.058669,563.415771,553.7787075,539.3472637,524.7737896
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9186783,468.5127395,530.5091394,449.1134327,394.1970768,295.8549743,240.4905758,153.7613241,119.4284446,119.5163589,115.7372322,109.9922684,101.59866,99.22750852,96.81705719,93.33215454,90.46201995
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|CO2","Mt CO2/yr",36039.00537,37164.17988,37506.39815,34211.18597,29954.65576,25616.5525,21505.05699,19889.45809,18392.57319,18544.14935,18811.85505,19081.41924,19594.1918,20103.39487,20514.98366,20896.52149,21255.75981
