"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2070","2080","2090","2100"
"MESSAGEix-GLOBIOM 1.1-M-R12","Below 2?C (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.553561836448,1332.847608959442,954.90123647192,983.3098662623748,1023.782369840347,994.6616643936233,1016.891163523398,1039.011811398344,1058.462214335584,1087.494067561695,1122.825427044525,1171.73960179972,1221.016839722589
"MESSAGEix-GLOBIOM 1.1-M-R12","Below 2?C (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.4517172169438,816.4426623663866,607.924331067625,629.2648362220932,660.4847580836313,640.4024148379818,659.7768221511736,677.9548294470992,694.6487062962439,721.4049578168425,753.0476646354671,792.196376731811,828.9543710995646
"MESSAGEix-GLOBIOM 1.1-M-R12","Current Policies (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.55356183645,1448.00467881803,1692.16330216975,1700.09940541565,1682.58396230748,1624.72084481573,1537.0074092679,1401.71612835755,1289.34529701928,1348.86158115175,1395.06846688967,1439.84878599151,1499.13737380501
"MESSAGEix-GLOBIOM 1.1-M-R12","Current Policies (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.451717216944,900.017782062213,1047.94349306063,1114.81453268132,1114.79596205387,1078.84792710916,1023.06121749328,931.826158750324,855.180177238101,902.410022804892,940.740276225991,976.965774015212,1019.77253377751
"MESSAGEix-GLOBIOM 1.1-M-R12","Delayed transition (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.553561836448,1448.00467881803,1692.163302169751,1074.889989442442,1025.021141933628,1025.764017579165,1011.396694698193,1028.043903522161,1044.980833455929,1075.115837197119,1118.418624124402,1164.866690545598,1215.929103471195
"MESSAGEix-GLOBIOM 1.1-M-R12","Delayed transition (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.4517172169438,900.0177820622126,1047.943493060631,694.6751867849864,659.416181409816,660.0054027706042,654.2614380776948,669.1500194848272,685.3245283324111,712.1923208546322,750.1213662774451,788.6245807989269,825.751677556722
"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.553561836448,1448.00467881803,1692.163302169751,1293.796707958672,1240.102488114667,1362.066594057085,1132.746503850665,1162.672247516628,1182.534078101015,1172.910531397197,1192.386591097639,1253.129277996685,1303.395933485976
"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.4517172169438,900.0177820622126,1047.943493060631,840.1903179800936,806.3276515813515,876.511708588525,738.1769236000974,760.5376166676816,779.8244356058176,779.1105791003331,798.3920055450009,846.0174706908526,883.6097951310516
"MESSAGEix-GLOBIOM 1.1-M-R12","Low demand (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.553561836448,1332.847608959442,751.4252914527627,781.7207070530067,821.0192738993787,855.3509090526054,887.1354907043356,871.5874777646856,858.0163639241027,821.2146339737027,811.3423594665992,789.3726758081751,764.5679832656517
"MESSAGEix-GLOBIOM 1.1-M-R12","Low demand (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.4517172169438,816.4426623663866,474.8267706497717,498.9181846232582,527.0674206536679,556.8590432333617,586.4665666543284,578.7774065451233,571.3303290440736,551.7413857386724,546.9941732801342,532.5750190043832,516.1022340347033
"MESSAGEix-GLOBIOM 1.1-M-R12","Nationally Determined Contributions (NDCs) (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.55356183645,1332.84760895944,1344.2752103539,1308.84720205221,1149.9645492208,1134.13548029443,1175.58406740798,1206.21524803625,1238.90997117923,1278.40255141253,1307.55295634808,1248.47864310539,1294.3377170253
"MESSAGEix-GLOBIOM 1.1-M-R12","Nationally Determined Contributions (NDCs) (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.451717216944,816.442662366387,824.51668010139,850.548646194737,745.72316817468,740.745282219201,774.616343447486,799.301215193205,823.915256439012,855.264350287324,881.186248044651,844.605277521021,878.197799591002
"MESSAGEix-GLOBIOM 1.1-M-R12","Net Zero 2050 (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1356.553561836448,1332.847608959442,791.9193402351996,777.9572297839934,805.6602332572182,814.955589484315,840.9382500361718,867.3540361114534,917.4404648992668,1024.936873352878,1093.384982123879,1155.87682867184,1209.639996751715
"MESSAGEix-GLOBIOM 1.1-M-R12","Net Zero 2050 (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",805.4517172169438,816.4426623663866,496.8450963766584,482.6339327671838,501.9183084275609,512.9682247915408,537.3051081333646,560.3641547107969,599.4160422157705,679.8369854027172,732.4577511281142,780.5717042098289,822.1765814162173
"© NGFS Phase 4 Scenario Explorer https://data.ene.iiasa.ac.at/ngfs"
