"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CO2","Mt CO2/yr",36039.0033,35347.28895,29549.14804,24301.61003,19048.63634,13907.5818,8829.904221,5244.729484,1698.010095,-1141.52232,-3165.056547,-5085.914059,-5192.409086,-5246.878344,-5262.514988,-5250.299249,-5217.607977
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr",34691.05739,34523.66009,29248.53808,24524.44429,19795.29631,15178.49842,10625.11438,7039.374659,3491.937626,652.0098287,-1371.427622,-3292.545043,-3398.84919,-3453.294842,-3468.979036,-3456.824053,-3424.187145
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC23","kt HFC23/yr",12.31255527,14.56345839,15.47834643,16.10219125,16.48929597,16.61978084,16.2068839,15.42556067,15.07806943,14.78501039,14.4262635,13.86984721,13.98951264,13.95001328,13.73770763,13.46560183,13.16349781
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC143a","kt HFC143a/yr",71.8351786,81.6383024,89.9088156,81.71218988,76.5927921,63.86717705,54.21373477,35.9150026,28.6840928,25.9740264,23.2072849,19.796926,21.6349647,22.5619351,22.5555856,22.0036739,21.2731435
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|NH3","Mt NH3/yr",58.15786321,61.58913746,63.61757721,65.93189359,67.96016372,69.68382245,71.13223802,71.53007391,72.0087206,72.63936596,72.60823989,72.26772746,73.89045322,75.01051581,75.61554539,75.85473793,75.85986337
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.474941,1335.548402,1373.79544,1277.647613,1219.789753,1059.547286,932.4234437,712.7821882,637.0635321,610.129693,583.0643285,546.8542621,559.9300458,563.8899962,557.8184416,544.5587605,528.8378137
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|PFC","kt CF4-equiv/yr",5.929292217,6.480895427,6.232795727,6.213865261,6.159886075,5.934460797,5.442937501,4.553279779,4.36858604,4.16022023,3.929638731,3.627456481,3.431854357,3.165911779,2.832869195,2.449675573,2.15322166
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9220769,449.142004,442.4477123,398.3181432,371.1635566,301.5849668,251.7210058,169.2398655,138.188722,127.2285911,115.9363426,102.3409087,100.6105189,99.2408694,97.49304468,94.35514685,91.42667253
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|BC","Mt BC/yr",6.302314255,5.520187452,4.795725286,4.273578795,3.820635377,3.406951669,3.035682341,2.689699892,2.38441906,2.146299767,1.968191853,1.856460773,1.885960389,1.903855158,1.907415346,1.912857907,1.918049207
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CF4","kt CF4/yr",4.555021732,4.995453203,4.933689331,4.929570602,4.876996205,4.686509181,4.257903103,3.444143128,3.268183131,3.072949457,2.859230776,2.588234854,2.394875576,2.143450446,1.837058654,1.487848195,1.221658447
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|N2O","kt N2O/yr",9124.674396,9281.935404,8842.39029,8803.368196,8862.231052,8842.615115,8787.685434,8825.315438,8854.78726,8882.768614,8790.319407,8609.530848,8972.06441,9259.165055,9443.109736,9555.535613,9629.827955
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|OC","Mt OC/yr",25.86904883,23.91380757,21.48410441,20.05228086,18.60024052,17.43918811,16.76859644,15.85308183,15.21935407,14.70896539,14.24693712,14.13799118,14.37978124,14.38962315,14.24781358,14.12213436,14.02337038
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC32","kt HFC32/yr",5.209188883,5.934666986,6.545581325,5.948557331,5.575389159,4.649490275,3.947742307,2.61836417,2.09138844,1.89378899,1.69205584,1.4434007,1.57754247,1.6452375,1.64485783,1.604679,1.551474754
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|NOx","Mt NO2/yr",120.8096459,102.8234428,83.43371099,69.8553176,61.34005214,54.50054433,47.38881071,42.10321236,36.72053074,32.37003373,29.12024287,26.24418229,27.08174692,28.24351088,29.34277957,30.34680263,31.27005864
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC134a","kt HFC134a/yr",245.756497,226.8519851,203.9090447,176.3062598,159.2512899,115.5278449,85.86394838,43.15867875,29.4396189,26.81106563,24.01955149,20.82968524,18.04650759,16.41763401,15.61984655,14.74378131,13.83870878
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|SF6","kt SF6/yr",3.298971891,3.805551564,3.385323598,3.272027798,3.28874981,3.300078448,3.277132345,3.35431624,3.674425725,3.924112608,4.202673205,4.45712925,4.594808702,4.695597592,4.73814982,4.735696316,4.701046105
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC245fa","kt HFC245fa/yr",3.703861321,4.06286169,6.57531884,6.89020728,7.20625644,7.51055162,7.87431995,8.378843,8.92087189,9.43663046,9.96065461,10.38712144,10.95893781,11.44928451,11.85286764,12.17131136,12.44616429
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CO2|AFOLU","Mt CO2/yr",1347.945907,823.6288623,300.6099637,-222.8342567,-746.659963,-1270.916622,-1795.210164,-1794.645175,-1793.927531,-1793.532149,-1793.628925,-1793.369016,-1793.559896,-1793.583502,-1793.535951,-1793.475195,-1793.420832
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CH4","Mt CH4/yr",320.8162122,323.0404941,300.467089,287.922783,281.3138424,274.8820262,266.3680169,259.5867868,253.0175978,247.1912961,239.1780297,228.0608251,235.9995275,242.4026839,246.2015678,247.9097881,248.3869874
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|CO","Mt CO/yr",756.1192915,670.9373112,578.7305906,525.4816638,477.5515914,441.8811412,412.5865171,380.2967216,354.1848803,331.8570706,313.5260352,303.4506199,309.0727499,311.6408242,311.9204255,312.5628617,313.8979838
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC125","kt HFC125/yr",66.0725439,75.2165618,82.91947371,75.35527376,70.62963865,58.89929493,50.0093349,33.1648577,26.4889246,23.9862317,21.4311919,18.2820404,19.9796252,20.8359112,20.8301073,20.320526,19.6459729
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|HFC|HFC227ea","kt HFC227ea/yr",3.54645232,3.63234098,4.21787059,4.24628701,4.2873344,4.34345886,4.40716675,4.23963935,3.86112192,3.14204504,2.72410556,2.51559626,2.14783938,1.77964567,1.54830899,1.193943858,0.701181482
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|VOC","Mt VOC/yr",180.5677345,169.3020191,154.2461819,146.8299892,140.065564,134.2811257,128.849149,122.5293785,117.1134991,112.2779617,108.3866049,106.3862919,109.9526512,112.4246334,114.2895353,116.1454115,117.9912618
"GCAM 6.0 NGFS","Below 2?C (version: 1)","World","Emissions|C2F6","kt C2F6/yr",1.374270485,1.485442224,1.299106396,1.284294659,1.28288987,1.247951616,1.185034398,1.109136652,1.100402908,1.087270773,1.070407955,1.039221627,1.036978781,1.022461333,0.995810542,0.961827377,0.931563213
