"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2070","2080","2090","2100"
"REMIND-MAgPIE 3.2-4.6","Below 2?C (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1417.475916,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Below 2?C (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,537.4002589999999,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Current Policies (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1561.093773,1476.810729,1392.527682,1308.244637,875.939534,443.634433,206.939599,207.693816,213.904011,247.3674370000001
"REMIND-MAgPIE 3.2-4.6","Current Policies (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,842.796057,937.971335,1033.146611,1128.321886,959.730835,791.1397860000001,798.6957580000001,458.822913,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Delayed transition (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Delayed transition (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Fragmented World (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Fragmented World (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Low demand (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1417.475916,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Low demand (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,537.4002589999999,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Nationally Determined Contributions (NDCs) (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1561.093773,1476.810729,1392.527682,1308.244637,875.939534,443.634433,206.939599,207.693816,213.904011,247.3674370000001
"REMIND-MAgPIE 3.2-4.6","Nationally Determined Contributions (NDCs) (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,842.796057,937.971335,1033.146611,1128.321886,959.730835,791.1397860000001,798.6957580000001,458.822913,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Net Zero 2050 (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1417.475916,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Net Zero 2050 (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,537.4002589999999,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"© NGFS Phase 4 Scenario Explorer https://data.ene.iiasa.ac.at/ngfs"
