"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2070","2080","2090","2100"
"REMIND-MAgPIE 3.2-4.6","Below 2?C (version: 1)","World","Emissions|CO2","Mt CO2/yr",43910.8624351,40503.808744,34103.5538986,25738.4432811,17967.3919807,12827.3278875,9641.733536300002,7757.3130357,6217.7706308,4573.534425,3788.4293402,3193.9209159,2616.1372346
"REMIND-MAgPIE 3.2-4.6","Below 2?C (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1417.475916,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Below 2?C (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,537.4002589999999,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Current Policies (version: 1)","World","Emissions|CO2","Mt CO2/yr",43910.8624351,42014.855195,41800.97887080001,40848.751148,39625.39852420001,38711.14788349999,39360.6138417,39618.71420140001,40133.5990941,39801.22060099999,38371.3643665,35612.8864298,31201.3497996
"REMIND-MAgPIE 3.2-4.6","Current Policies (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1561.093773,1476.810729,1392.527682,1308.244637,875.939534,443.634433,206.939599,207.693816,213.904011,247.3674370000001
"REMIND-MAgPIE 3.2-4.6","Current Policies (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,842.796057,937.971335,1033.146611,1128.321886,959.730835,791.1397860000001,798.6957580000001,458.822913,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Delayed transition (version: 1)","World","Emissions|CO2","Mt CO2/yr",43910.8624351,42014.855195,41800.97887080001,36212.15081420001,20301.9614061,9955.595338599998,6451.995137299999,4745.658557199999,3080.6220976,1347.815365,1205.0288675,1457.6088517,1399.9460345
"REMIND-MAgPIE 3.2-4.6","Delayed transition (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Delayed transition (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Fragmented World (version: 1)","World","Emissions|CO2","Mt CO2/yr",43910.8624351,42014.855195,41800.97887080001,38839.4643786,31837.2479335,26647.9058265,24342.9558064,22582.8884269,21294.69754729999,20097.5355717,19730.3146108,19560.1218191,18976.6168105
"REMIND-MAgPIE 3.2-4.6","Fragmented World (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1467.077792,1729.659867,1645.37682,1105.291965,793.108014,480.924066,168.740114,170.107303,171.474492,202.028055,187.412883,189.538041,221.133104
"REMIND-MAgPIE 3.2-4.6","Fragmented World (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",539.975901,652.4455029999999,747.6207810000001,422.355013,307.309768,192.264523,77.21927600000001,82.80852900000001,88.397783,100.360196,108.724272,119.306395,131.518734
"REMIND-MAgPIE 3.2-4.6","Low demand (version: 1)","World","Emissions|CO2","Mt CO2/yr",43910.8624351,38265.2575617,23141.2789297,13075.3194434,7157.993587799999,3294.0134351,904.3264043,-590.8568077999998,-1735.019318,-2906.6614909,-3232.7374337,-3263.310713800001,-3240.809334300001
